range,bubble,insertion,selection,merge
30000,2.913788,1.176629,1.270786,0.017162
30000,2.884184,1.183192,1.270571,0.015285
30000,2.876749,1.189968,1.302065,0.012721
30000,2.936609,1.289996,1.353177,0.014886
30000,2.967001,1.232659,1.292207,0.014179
30000,3.003515,1.214080,1.267722,0.012858
30000,2.941621,1.209772,1.266725,0.012741
30000,3.132720,1.278647,1.271454,0.013453
30000,2.996714,1.284480,1.266473,0.012588
30000,3.023484,1.173927,1.302976,0.015350
30000,3.015246,1.254509,1.272779,0.012274
30000,2.866701,1.153757,1.281237,0.014698
30000,2.868151,1.141639,1.270349,0.017637
30000,2.842835,1.162989,1.261771,0.012317
30000,2.828964,1.214917,1.267294,0.012808
30000,3.024624,1.408927,1.388436,0.018392
30000,3.485840,1.532102,1.308669,0.014236
30000,2.897055,1.411794,1.377843,0.018381
30000,3.248309,1.375606,1.395954,0.020410
30000,3.141383,1.240036,1.342628,0.017011
30000,3.194905,1.207113,1.347725,0.019661
30000,3.152254,1.370332,1.301107,0.013528
30000,2.899541,1.200705,1.304076,0.018938
30000,2.975842,1.156161,1.300756,0.012472
30000,2.894289,1.134603,1.267825,0.016750
30000,2.959676,1.164406,1.256946,0.015384
30000,2.882440,1.179061,1.269267,0.012309
30000,2.865913,1.174886,1.259592,0.018081
30000,2.943937,1.209496,1.267447,0.014684
30000,2.855352,1.165810,1.276343,0.012043
30000,2.907399,1.191760,1.269037,0.013279
30000,2.937488,1.203096,1.285236,0.015684
30000,2.945355,1.167108,1.283325,0.019065
30000,2.923999,1.185662,1.317721,0.018980
30000,3.390898,1.432704,1.354730,0.017744
30000,2.984575,1.291605,1.326433,0.016624
30000,3.166341,1.404119,1.349245,0.014551
30000,3.384781,1.324980,1.397507,0.018837
30000,3.519017,1.313548,1.342656,0.013052
30000,2.903569,1.185978,1.275145,0.017638
35000,4.268591,1.651840,1.749060,0.016528
35000,3.932153,1.636113,1.754956,0.018313
35000,4.039982,1.545388,1.722908,0.018891
35000,4.153136,1.617518,1.713968,0.019386
35000,4.154070,1.752046,1.844344,0.023320
35000,4.524304,1.915622,1.838704,0.019355
35000,4.509724,1.929440,1.836573,0.023643
35000,4.555431,2.015751,1.839589,0.021476
35000,4.657899,1.929027,1.872372,0.023128
35000,4.574598,2.058830,1.901111,0.023041
35000,4.744486,1.810032,1.783249,0.023729
35000,4.840040,1.907769,1.806049,0.023748
35000,4.438930,1.702077,1.803370,0.015521
35000,4.177496,1.635025,1.877930,0.024182
35000,4.387235,1.846737,1.828520,0.024023
35000,4.242834,1.693180,1.726111,0.016666
35000,4.310906,1.625746,1.732137,0.017820
35000,4.509586,1.615614,1.730114,0.017031
35000,4.487774,2.009635,1.784662,0.015479
35000,3.988112,1.864714,1.872384,0.022269
35000,4.500986,2.070857,1.801401,0.022522
35000,4.087670,1.991212,1.835015,0.023699
35000,4.197174,1.675271,1.729936,0.018210
35000,4.016776,1.616880,1.776064,0.018205
35000,4.621109,1.992873,1.891127,0.022393
35000,4.391967,1.989232,1.792041,0.016874
35000,4.233852,1.999212,1.800494,0.014995
35000,4.598258,2.017656,1.731387,0.014950
35000,4.403324,1.598166,1.733603,0.019985
35000,4.456555,1.922665,1.810081,0.017802
35000,4.268343,1.810598,1.751749,0.018529
35000,4.024683,1.656027,1.718562,0.019578
35000,3.865665,1.561062,1.718522,0.015806
35000,3.954524,1.578881,1.737147,0.016338
35000,3.988602,1.611278,1.721275,0.022272
35000,3.991560,1.643238,1.720633,0.015083
35000,3.996935,1.815323,1.755437,0.017483
35000,3.935744,1.547051,1.710663,0.014815
35000,4.026543,1.663831,1.722950,0.017701
35000,3.915859,1.607914,1.713446,0.015182
35000,3.959714,1.578719,1.722701,0.021535
35000,3.844362,1.637183,1.759619,0.015697
35000,3.981953,1.592660,1.773877,0.023704
35000,4.193228,1.895121,1.856668,0.019233
35000,4.515551,1.866499,1.832958,0.019069
35000,4.394578,1.850317,1.815401,0.021205
35000,4.447371,1.837457,1.797655,0.021270
35000,4.392445,1.853137,1.821146,0.021462
35000,4.463675,1.867294,1.823583,0.023391
35000,4.435653,1.877540,1.781575,0.016588
40000,5.063029,2.014087,2.225907,0.017060
40000,5.089146,2.042604,2.239622,0.017898
40000,5.161912,2.025365,2.231247,0.017239
40000,5.132508,2.046024,2.237119,0.019678
40000,5.078691,2.073462,2.258097,0.020037
40000,5.295488,2.141598,2.265294,0.017977
40000,5.155867,2.059022,2.252575,0.021452
40000,5.055204,2.062320,2.236540,0.017376
40000,5.077758,2.051246,2.239923,0.017289
40000,5.130352,2.056527,2.241324,0.022946
40000,5.262791,2.041838,2.228000,0.021811
40000,5.160970,2.101436,2.359123,0.021419
40000,5.201973,2.089528,2.253351,0.020403
40000,5.184592,2.054334,2.240833,0.018842
40000,5.150791,2.064677,2.235904,0.021563
40000,5.068006,2.047254,2.244639,0.025358
40000,5.084847,2.054346,2.227318,0.018554
40000,5.153703,2.047212,2.235611,0.018769
40000,5.141992,2.056504,2.230460,0.018712
40000,5.138440,2.029605,2.272079,0.023666
40000,5.086617,2.044159,2.240860,0.021242
40000,5.256822,2.017745,2.237997,0.020579
40000,5.090208,2.024881,2.239394,0.017665
40000,5.084370,2.192912,2.239122,0.019567
40000,5.089108,2.034968,2.244252,0.019446
40000,5.184574,2.003325,2.224835,0.018703
40000,5.092256,2.073884,2.229223,0.017303
40000,5.201631,2.068982,2.247072,0.020218
40000,5.090024,2.049672,2.233085,0.021684
40000,5.141859,2.026774,2.254071,0.017753
40000,5.116517,2.131299,2.245206,0.023386
40000,5.108945,2.020910,2.248473,0.019029
40000,5.157783,2.017195,2.228218,0.020128
40000,5.188869,2.059604,2.225772,0.019250
40000,5.071177,2.079163,2.235456,0.017447
40000,5.073443,2.030665,2.260410,0.019486
40000,5.231845,2.078458,2.230029,0.020042
40000,5.138397,2.098409,2.287425,0.017897
40000,5.111411,2.060244,2.233869,0.018102
40000,5.154531,2.088177,2.245545,0.018301
40000,5.164277,2.040869,2.247420,0.017314
40000,5.147616,2.063533,2.225056,0.021583
40000,5.126038,2.050883,2.238721,0.020110
40000,5.094453,2.075386,2.258324,0.023040
40000,5.133517,2.000679,2.235436,0.017425
40000,5.126093,2.047349,2.243947,0.021112
40000,5.055404,2.041902,2.224992,0.017448
40000,5.098770,2.068117,2.244833,0.017020
40000,5.172685,2.043823,2.242354,0.017042
40000,5.106268,2.043364,2.227425,0.018893
45000,6.431454,2.668839,2.883966,0.023708
45000,6.509584,2.635228,2.843923,0.019974
45000,6.476342,2.567231,2.853407,0.022430
45000,7.051114,2.921884,2.877633,0.019231
45000,6.791461,2.689518,2.844881,0.020029
45000,6.546725,2.639703,2.870026,0.023237
45000,6.498636,2.609355,2.844234,0.021099
45000,6.437693,2.738760,2.856847,0.024903
45000,6.833480,2.610618,2.841354,0.019250
45000,6.623568,2.600171,2.844429,0.021418
45000,6.658366,2.791641,2.861807,0.019797
45000,7.097883,3.314043,3.058133,0.029898
45000,7.315196,2.895509,3.011892,0.021066
45000,6.939027,2.755098,2.920120,0.029100
45000,7.204719,2.853001,2.900208,0.026765
45000,6.685404,2.617449,2.897487,0.027365
45000,6.937630,2.703416,2.880118,0.022293
45000,6.619276,2.665645,2.842102,0.019580
45000,6.678344,2.690246,2.841992,0.023419
45000,6.597338,2.613532,2.847186,0.021645
45000,6.735956,2.641144,2.927972,0.020093
45000,6.748838,2.701628,2.838967,0.022308
45000,6.600233,2.572850,2.843771,0.023985
45000,6.560860,2.590255,2.857957,0.027472
45000,6.567780,2.630117,2.859729,0.024173
45000,6.687662,2.557735,2.842229,0.023209
45000,6.556184,2.590518,2.823481,0.019010
45000,6.602792,2.662782,2.841424,0.020949
45000,6.524494,2.550958,2.864333,0.024792
45000,7.393968,2.658664,2.844619,0.021626
45000,6.750943,2.812381,2.892983,0.020006
45000,6.847371,2.788313,2.859541,0.026314
45000,7.136296,3.208873,3.082639,0.029982
45000,7.849588,3.366866,3.041074,0.026600
45000,7.537649,3.138676,2.922361,0.024087
45000,6.643572,2.782397,2.919617,0.029351
45000,7.525644,3.071416,2.983243,0.027920
45000,7.492889,2.972778,3.065241,0.019186
45000,6.268894,2.411224,2.769408,0.019254
45000,6.494517,2.525799,2.923700,0.019668
45000,6.695274,2.455670,2.869927,0.020689
45000,6.412028,2.611412,2.861531,0.020164
45000,6.448103,2.597533,2.810575,0.019137
45000,6.681182,3.325619,2.971310,0.023981
45000,6.410310,2.623030,2.810986,0.021363
45000,6.238407,2.478935,2.802856,0.019291
45000,6.302436,2.481310,2.791077,0.027075
45000,6.557174,2.729649,2.853258,0.021514
45000,6.561021,2.725224,2.849338,0.021882
45000,6.594236,2.518436,2.843110,0.020168
50000,7.938236,3.134714,3.482914,0.022688
50000,7.961799,3.136537,3.514590,0.024522
50000,8.151967,3.175297,3.582195,0.022239
50000,8.311267,3.872354,3.648079,0.026681
50000,8.045544,3.880053,3.583409,0.022519
50000,8.259032,3.051369,3.509317,0.033974
50000,8.811865,3.349753,3.452330,0.021055
50000,7.826099,3.034197,3.536493,0.032529
50000,8.181793,3.125063,3.692624,0.031193
50000,8.492571,3.103849,3.471715,0.022635
50000,8.255506,3.149407,3.526593,0.021377
50000,8.113269,3.133804,3.821982,0.032045
50000,8.679553,3.034098,3.533391,0.025152
